stuNo	work1	work2	work3	work4
2017001	85	70	65	80
2017002	85	70	50	60
2017003	60	80	55	80
2017004	60	80	55	80
2017005	60	80	55	80
2017006	60	80	55	70
2017007	85	70	65	90
2017008	85	70	65	90
2017009	85	70	65	90
2017010	85	55	55	80
2017011	85	55	55	80
2017012	85	70	65	90
2017013	85	70	65	90
2017014	85	70	65	90
2017015	85	70	65	90
2017016	85	70	50	60
2017017	80	70	65	80
2017018	85	70	65	90
2017019	60	80	65	80
2017020	60	80	65	80
2017021	60	55	55	70
2017022	90	70	50	70
2017023	90	70	65	90
2017024	90	70	65	90
2017025	50	80	0	60
2017026	60	80	50	60
2017027	60	80	65	80
2017028	60	100	50	60
2017029	60	55	55	80
2017030	90	70	55	70
2017031	60	100	50	60
2017032	90	70	65	90
2017033	90	70	80	90
2017034	90	60	80	90
2017035	90	60	50	70
2017036	80	70	50	60
2017037	50	80	0	60
2017038	50	80	55	80
2017039	90	60	50	70
2017040	90	60	80	90
2017041	90	60	80	90
2017042	50	80	0	60
2017043	80	70	50	60
2017044	90	60	80	90
2017045	90	60	50	70
2017046	90	60	55	70
2017047	90	60	80	95
2017048	90	80	0	60
2017049	80	70	50	60
2017050	95	60	80	95
2017051	95	60	55	70
2017052	95	60	55	70
2017053	50	80	0	60
2017054	95	60	80	95
2017055	95	60	80	95
2017056	95	60	80	95
2017057	95	60	55	70
2017058	95	60	80	95
2017059	60	100	65	80
2017060	95	60	85	95
2017061	60	100	65	80
2017062	95	60	85	95
2017063	60	70	50	60
2017064	95	60	55	70
2017065	95	60	85	95
2017066	95	60	55	70
2017067	95	60	85	95
2017068	95	55	55	80
2017069	95	100	55	70
2017070	95	100	55	70
2017071	95	100	55	70
2017072	100	90	85	95
2017073	100	90	55	70
2017074	100	90	85	95
2017075	100	90	85	95
2017076	100	90	85	95
2017077	100	90	85	95
2017078	100	90	85	95
2017079	60	70	65	80
